Ball No.,Flight time(s),Avergae speed(m\s),Spin X(rps),Spin Y(rps),Spin Z(rps),Release speed(Rs),Release angle(Alpha),Release angle(Beta),Release angle(Gamma),Speed after Pitch(Rp),Pitch Angle(Alpha),Pitch Angle(Beta),Pitch Angle(Gamma),Total Time(s)
1,4.9120879120879,1.475313190862196,0.8011907916143719,0.2941194532488143,0.88800457144559,0.59026719233419,115.14726158647797,134.39056873882484,54.93499725850505,1.805217592392419,151.2376211504081,118.59803189039198,87.18295684153156,5.902390584
2,4.9413919413919,1.47241971071341,0.15637940437215803,-0.1538032179530281,0.2630198410370542,0.14724758739477553,136.82666154030738,132.98378764381272,86.70637479533636,0.7579845205021274,29.40566778015033,74.60047010172408,114.39238373255719,5.293820525
3,4.468864468864469,0.92295081967213,0.43328246392896763,-0.25928453118248584,0.8217705570291766,0.21760970010713285,102.1976443853764,117.6090265387095,30.61899825862995,0.09194985294465131,163.22442618115758,103.14660589520888,79.76487155395422,5.2309034112
4,4.197802197802198,1.24083769633508,0.14778180354267323,0.45272746071133607,-0.0530310806445804,1.0955493974102795,79.77846387057754,84.02199404624746,11.873923060532139,1.0955493974102795,79.77846387057754,84.02199404624746,11.873923060532139,6.0938924032
5,1.652014652014652,1.3170731707317,0.8303872202166063,1.0782586580086566,0.6002807547169797,0.4677044706799,105.9813553129529,16.291334132655066,86.91904306113022,1.4677044706799,105.9813553129529,16.291334132655066,86.91904306113022,2.0343905934
6,8.75824175824176,0.51191969887077,0.09728188913502767,-0.3166798388764507,0.37992728057639624,0.41212171352012783,86.18684507866477,90.20595102289782,176.1812709204472,0.24057013106489683,45.1541700226701,45.212843339385415,94.59055713446537,9.0923489534
7,4.3150183150183,1.536847492323439,-0.043659622311308155,-0.1608667636815424,-0.0589785811102671,0.156436018821837,101.22622502794768,159.50171780701868,106.9222523773516,0.08613387221654666,128.57842061686895,72.66870621670098,136.28381405494056,14.315018315018316
8,9.117216117216117,0.41301727601446,-0.20163311100131676,0.870451063747947,0.06256684913712984,0.14345093333931,117.45819144414888,129.54281640807446,51.821958299425425,0.50702478002018,104.49122185351445,22.172249589732072,73.5902330488745,10.698239424
9,1.652014652014652,1.3170731707317,0.8303872202166063,1.0782586580086566,0.6002807547169797,0.4677044706799,105.9813553129529,16.291334132655066,86.91904306113022,0.4677044706799,105.9813553129529,16.291334132655066,86.91904306113022,2.5907429475
10,5.029304029304029,0.37436270939548,-0.33019390331890286,-0.7492222088907551,0.5838435725348465,0.27041551776998896,109.05332448298452,79.3343992592566,22.040514229958962,0.250049354205108,87.99609345637758,23.54889951296597,66.54688906685604,6.233049354
11,4.468864468864469,0.92295081967213,0.43328246392896763,-0.25928453118248584,0.8217705570291766,0.21760970010713285,102.1976443853764,117.6090265387095,30.61899825862995,0.09194985294465131,163.22442618115758,103.14660589520888,79.76487155395422,5.6179308424
12,7.3003663003663,1.01354741595585,-1.4986202945990186,-0.632849372288907,-0.7932337317397073,1.1765003186354706,91.53390691201187,88.58906168480652,2.084363006828692,0.48295063876347666,144.06029946321684,77.37019698999885,123.0032023230333,7.723039934
13,2.010989010989,0.8316559926807,0.09324396672432245,0.03831201686424435,0.0552140837092292,0.11038884252422915,101.0266584052486,163.9791830145927,101.4762882357991,0.29142694597340413,75.24648173850234,165.20083930587404,91.13578477310988,2.9034945734
14,1.2710622710623,1.2738069989395546,0.26941355869547334,0.02325689935064923,0.3237615460718619,1.185630506477,87.6243461707157,90.18871353949751,177.61685401914315,8.652465538383984,82.3794067583102,70.61560025416472,159.05837887354693,2.349053785
15,3.952380952381,1.07679180887372,-0.054611111111112276,-0.13872354272778753,-0.18778296089385516,0.15521372559129182,77.2900168174096,29.846933981773173,116.51365584968005,0.15521372559129182,77.2900168174096,29.846933981773173,116.51365584968005,5.748955639
16,0.5677655677655677,0.7483870967742,0.34675675675676,0.64280263157895,0.393673894912427,1.02922206996681,113.1838288340402,88.83816927094777,23.216357076208304,0.9252951011378624,148.092425866196,60.37376032862061,79.21839871048759,1.239474923
17,1.0586080586080586,0.7820069204152,0.43328246392896763,-0.25928453118248584,0.8217705570291766,0.41920663950961023,128.5224968532785,110.25944304126843,45.447564878078445,0.2054313210914403,90.85103325837805,18.093152868380493,71.92826640748484,4.032967032967033
18,0.4908424908424908,0.8208955223881,-0.11604736842105279,-0.2623745410036721,-0.06294814814814842,0.3825591849484995,147.3540693284507,57.502445001973506,92.77845430215703,0.15083514217724706,134.1218036425033,104.90872520402793,47.91957044800007,1.1282051282051282
19,1.1452991452991454,1.12089552238806,-0.11604736842105279,-0.2623745410036721,-0.06294814814814842,0.3825591849484995,147.3540693284507,57.502445001973506,92.77845430215703,0.15083514217724706,134.1218036425033,104.90872520402793,47.91957044800007,1.1282051282051282
20,1.34,0.5597014925373134,-0.11604736842105279,-0.2623745410036721,-0.06294814814814842,0.4204013430539879,147.6972143041265,57.753829270953766,88.28831423985152,0.15982934784214203,123.97941491043662,78.12510238270553,36.55348942299583,1.1282051282051282
21,1.1400000000000001,0.6578947368421052,0.18086111111111114,0.20054959349593493,-0.21247141690485893,0.9621221932908823,152.89212695693845,69.72770988347563,107.21415036786648,0.3239816880152972,156.51689540689316,68.19287661697841,81.71069897944824,3.42
22,1.46,0.5136986301369864,0.1682268041237115,0.07647412144393961,0.5067738231917339,0.6926227430710226,143.85613878567875,89.8242215995263,53.856704893945874,0.25669466985891,49.49378925823661,69.89556161516691,47.29668685839604,5.21
23,1.46,0.5136986301369864,0.1682268041237115,0.07647412144393961,0.5067738231917339,0.6926227430710226,143.85613878567875,89.8242215995263,53.856704893945874,0.25669466985891,49.49378925823661,69.89556161516691,47.29668685839604,5.21
24,1.77,0.423728813559322,-0.04999676375404538,0.14182926829268294,0.13764716439339564,0.9991061477330464,150.41823797112139,109.70512516406596,68.86441258801507,0.2675855078745288,113.44040168517449,98.69557296980435,25.185834728772647,2.65
25,1.09,0.6880733944954128,-0.1738562386980108,0.49082858950031627,-0.15582086218449842,1.0418171396581521,178.20749095539668,91.79244391358527,90.01527544832436,0.2934848729998477,136.96718881445148,106.45448332643042,51.621428616631164,2.81
26,1.0683760683760686,0.7019999999999998,0.09138230190861785,-0.08474814814814802,-0.17720873786407776,0.8822836780474713,79.44976169182856,17.294510870962494,76.45514578056051,0.6505417064600577,70.55462622063317,56.365878934603614,40.25829928767941,1.905982905982906
27,0.9572649572649574,0.7834821428571427,0.12486413043478273,-0.23292735042735058,-0.6235454345,0.9444805456837883,109.88518821827677,21.95853782651398,98.9373479815803,0.3868136724659715,89.03066299313075,72.99972166938778,17.02957974209982,1.7948717948717952
28,0.9230769230769231,0.8125,-0.890151928986,-0.6019784400760939,0.5794019138755979,0.5978857131858961,19.665534356001622,108.4805046868276,96.48958583945151,0.473512214162059,40.11411468373523,89.78310255475853,49.88671848374299,1.512820512820513
29,1.0683760683760686,0.7019999999999998,0.09138230190861785,-0.08474814814814802,-0.17720873786407776,0.8705373073296628,79.09332850482767,17.569423764947192,76.39648912191934,0.6438346650612531,70.42499386964057,56.97303818469064,39.7751489163456,1.905982905982906
30,1.0854700854700856,0.6909448818897637,0.17366666666666664,-0.0845768266820901,-0.3453645425,0.6196090313931643,20.526261097197715,110.03727431253307,94.27231823831711,0.49170476939904423,74.8665774256116,129.28839553568662,43.23010312048095,1.8974358974358976
31,1.1196581196581197,0.6698473282442748,-0.030416256157635324,0.059020930232558055,0.0234549534,0.31415704478876577,121.01598278468319,39.5727708391145,112.00015747331548,0.4505845515820999,71.45694959573642,76.37017063516387,23.31645043833196,1.7435897435897438
32,0.7008547008547009,1.0701219512195121,0.01114635904830552,-0.1409675307672168,0.2454532905,0.3506605182124717,128.7634662035934,108.90429487943143,135.1731428801001,0.34123822203014775,108.75466746214582,126.27867685631027,42.33174353596318,1.7948717948717952
33,2.170940170940171,0.34547244094488183,0.19643835616438354,0.11437728937728997,0.5084116153602041,0.27626789254892603,102.15605021080745,101.00417172761149,163.48817270158244,0.37425590189123725,16.116486705579163,75.14519758418133,96.11056238941526,3.256410256410257
34,0.6410256410256411,1.17,-0.05456140350877181,0.6246428571428575,0.5937534588,0.38261720291802964,82.57869516198761,170.95541550787024,95.14097903705726,0.47397747311521454,76.93648261473561,119.3851618026444,32.69971401776885,1.2307692307692308
35,1.13186813,1.076307996,0.003474225,-0.831190253,-0.656534727,0.3184342188,53.1147702,139.5765227,104.203769,0.787391255,51.52023315,114.0864177,48.08489032,7.20512821
36,4.58151905,1.017613275,0.0349001209,-0.831190253,-0.2545848906,0.5210669921,126.9721085,37.21721414,93.67841739,0.896865255,79.89940011,118.5042047,30.55918307,7.32538502
37,1.319811912,0.56826279,-0.031902389,0.032294118,0.655352568,0.361436401,44.65802948,134.0197426,83.94217945,0.427687016,82.31265784,110.5262154,22.04196085,2.09214629
38,1.329191729,0.564252683,-0.030192893,0.032294118,0.679023509,0.360679877,44.96001418,134.3215435,83.94073343,0.429072853,82.44588887,110.2386958,21.71989194,2.107015038
39,1.35816,0.552217706,-0.030132338,0.032294118,0.679345699,0.358322464,45.9119733,135.2721482,83.93469719,0.433365329,82.81675501,109.3372809,20.72921093,2.142874667
40,1.621626506,0.462498607,-0.039230264,0.032294118,0.6468987022,0.337490002,55.87851539,145.1462913,83.72975689,0.474966421,83.2566737,100.7239556,12.71072461,2.558566265
41,1.595112144,0.470186377,-0.09130394,0.032294118,0.608945124,0.339408337,54.77183023,144.0577119,83.76473737,0.470445746,83.45303782,101.5871815,13.35381709,2.516732495
42,1.202052753,0.623932683,0.2242354677,0.240382966,0.589136843,0.22119167,71.20656603,117.5057406,145.7296971,0.396570192,68.33776657,36.41416188,62.29694457,4.048422952
43,1.273277108,0.589031245,0.254563147,0.240382966,0.548609211,0.221147305,80.34064934,119.0771204,149.0602482,0.40565292,64.37262226,40.09449015,61.49662675,4.288301205
44,0.7511212121212121,0.9985072820430064,0.41935550082101836,-0.08238228438228434,0.3503598484848486,0.2549750895121803,55.282603274971414,46.77048958939749,117.02905498449208,0.319994274542049,69.65661417413786,75.03408765844814,154.3375929831049,2.146060606060606
45,1.4390526315789476,0.521176212420452,0.2415102974828378,-0.13066532258064523,1.4085156250000006,0.6973023750771062,51.116501338920486,38.94634211412698,88.12356705456808,0.7568472363822261,76.43775944728964,74.18392499061397,21.072423201599175,2.4883618421052636
46,0.7935605381165919,0.9451074794873534,0.2415102974828378,-0.13066532258064523,1.4085156250000006,0.25356742034927243,63.72520697234598,40.624542793348425,118.5196190057057,0.3642339210227447,84.13133772110734,80.68895384191656,11.034210124961767,1.3721984304932735
47,1.0572177121771218,0.7094092270318946,0.013250000000000317,0.0023043478260869055,-0.8805999999999999,0.9400964806871565,37.298088100445504,60.00288250549785,69.9772310749088,0.9367604807132935,53.21293545941951,72.05035066919827,42.3369716823352,2.780091020910209
48,1.3540518174787315,0.5538931304686059,-0.22630514705882354,0.0583137254901962,-0.23947115384615392,0.35223492562513364,72.99991082148307,78.24492913909243,159.12362054826878,0.49658513437285184,78.59853108150179,56.35866436679453,36.02977597417245,2.3457517401392107
49,0.8019174627435995,0.9352583462068847,-0.22630514705882354,0.0583137254901962,-0.23947115384615392,0.32214564080714053,89.41318803030796,75.23390450945728,165.22171665478817,0.30980031276947617,66.37192926016112,51.70702066661303,47.56142956591325,1.3892372946121514
